Date,Run,pH,Fed_Unfed,Time _min,Count,Chamber_tank
20210914,4,8,NA,45,967,8D
20210914,4,8,NA,60,688,8D
20210914,4,8,NA,75,778,8D
20210914,4,8,NA,90,764,8D
20210914,4,8,NA,0,1407,Blank
20210914,4,8,NA,15,1443,Blank
20210914,4,8,NA,30,1415,Blank
20210914,4,8,NA,45,1367,Blank
20210914,4,8,NA,60,1201,Blank
20210914,4,8,NA,75,1257,Blank
20210914,4,8,NA,90,1255,Blank
20210914,4,7.5,NA,0,1321,7.5B
20210914,4,7.5,NA,15,1423,7.5B
20210914,4,7.5,NA,30,1110,7.5B
20210914,4,7.5,NA,45,976,7.5B
20210914,4,7.5,NA,60,797,7.5B
20210914,4,7.5,NA,75,NA,7.5B
20210914,4,7.5,NA,90,656,7.5B
20210914,4,7.5,NA,0,1319,7.5C
20210914,4,7.5,NA,15,1405,7.5C
20210914,4,7.5,NA,30,1313,7.5C
20210914,4,7.5,NA,45,1119,7.5C
20210914,4,7.5,NA,60,1100,7.5C
20210914,4,7.5,NA,75,1054,7.5C
20210914,4,7.5,NA,90,935,7.5C
20210914,4,7.5,NA,0,1357,7.5D
20210914,4,7.5,NA,15,1409,7.5D
20210914,4,7.5,NA,30,1239,7.5D
20210914,4,7.5,NA,45,1182,7.5D
20210914,4,7.5,NA,60,1124,7.5D
20210914,4,7.5,NA,75,1153,7.5D
20210914,4,7.5,NA,90,1013,7.5D
20210914,4,7.5,NA,0,1380,Blank
20210914,4,7.5,NA,15,1370,Blank
20210914,4,7.5,NA,30,1245,Blank
20210914,4,7.5,NA,45,1399,Blank
20210914,4,7.5,NA,60,1250,Blank
20210914,4,7.5,NA,75,1280,Blank
20210914,4,7.5,NA,90,1254,Blank
