Date,Run,Plate,pH,Food,Replicate,Chamber_tank,Number,Center,Length_um,Shell_tin_weight,tin_plus_shell,Tissue_tin_ weight,tin_plus_tissue,Dry_Shell_weight,Dry_Tissue_weight,Condition_Index,Instrument,Notes
10/26/2021,1,NA,7.5,unfed,A,7.5_A,2,NA,3218.16,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,C,8_C,1,NA,2167.19,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,C,7.5_C,1,NA,4286.87,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,B,7.5_B,1,NA,2985.22,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,B,8_B,2,NA,3956.4,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,D,8_D,1,NA,2355.83,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,D,7.5_D,2,NA,3781.86,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,A,8_A,2,NA,3092.98,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,D,8_D,2,NA,4715.58,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,C,8_C,2,NA,2233.2,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,C,7.5_C,2,NA,4126.57,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,B,7.5_B,2,NA,3847.25,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,fed,A,8_A,1,NA,12610,0.4106,0.5517,0.4128,0.4259,0.1411,0.0131,9.284195606,loligo_8channel,
10/26/2021,1,NA,8,fed,B,8_B,1,NA,8940,0.409,0.4571,0.4168,0.4237,0.0481,0.0069,14.34511435,loligo_8channel,
10/26/2021,1,NA,8,fed,C,8_C,1,NA,14070,0.4196,0.5996,0.4132,0.4326,0.18,0.0194,10.77777778,loligo_8channel,
10/26/2021,2,NA,8,fed,D,8_D,1,NA,8650,0.4136,0.4575,0.4118,0.4156,0.0439,0.0038,8.656036446,loligo_8channel,
10/26/2021,2,NA,8,fed,A,8_A,2,NA,14310,0.4188,0.5912,0.4115,0.4275,0.1724,0.016,9.280742459,loligo_8channel,
10/26/2021,2,NA,8,fed,B,8_B,2,NA,11610,0.4108,0.4954,0.4108,0.424,0.0846,0.0132,15.60283688,loligo_8channel,
10/26/2021,3,NA,8,fed,C,8_C,2,NA,12530,0.4095,0.5424,0.4219,0.4362,0.1329,0.0143,10.7599699,loligo_8channel,
10/26/2021,3,NA,8,fed,D,8_D,2,NA,11400,0.4137,0.5085,0.4135,0.4235,0.0948,0.01,10.54852321,loligo_8channel,
10/26/2021,1,NA,7.5,fed,A,7.5_A,1,NA,8900,0.4111,0.4596,0.4139,0.4182,0.0485,0.0043,8.865979381,loligo_8channel,
10/26/2021,1,NA,7.5,fed,B,7.5_B,1,NA,7030,0.4193,0.4459,0.4114,0.4144,0.0266,0.003,11.27819549,loligo_8channel,
10/26/2021,1,NA,7.5,fed,C,7.5_C,1,NA,7400,0.4058,0.433,0.4154,0.4184,0.0272,0.003,11.02941176,loligo_8channel,
10/26/2021,2,NA,7.5,fed,D,7.5_D,1,NA,7420,0.417,0.4445,0.4126,0.415,0.0275,0.0024,8.727272727,loligo_8channel,
10/26/2021,2,NA,7.5,fed,A,7.5_A,2,NA,13490,0.4133,0.5504,0.4124,0.4267,0.1371,0.0143,10.43034282,loligo_8channel,
10/26/2021,2,NA,7.5,fed,B,7.5_B,2,NA,10100,0.4118,0.4807,0.4117,0.4191,0.0689,0.0074,10.74020319,loligo_8channel,
10/26/2021,3,NA,7.5,fed,C,7.5_C,2,NA,9550,0.4109,0.4686,0.418,0.4255,0.0577,0.0075,12.9982669,loligo_8channel,
10/26/2021,3,NA,7.5,fed,D,7.5_D,2,NA,8890,0.4112,0.4531,0.4149,0.4202,0.0419,0.0053,12.64916468,loligo_8channel,
10/26/2021,3,NA,7.5,fed,B,7.5_B,3,NA,9510,0.4087,0.4668,0.4157,0.4222,0.0581,0.0065,11.18760757,loligo_8channel,
10/26/2021,3,NA,7.5,fed,C,7.5_C,3,NA,9710,0.4107,0.4729,0.4097,0.4164,0.0622,0.0067,10.77170418,loligo_8channel,
